Run_number: 3510 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3965 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3966 Nplus : 3 Nminus : 6 | Aexp: -0.333333 | errAexp: 0.31427
Run_number: 3967 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 3968 Nplus : 2 Nminus : 1 | Aexp: 0.333333 | errAexp: 0.544331
Run_number: 3970 Nplus : 7 Nminus : 9 | Aexp: -0.125 | errAexp: 0.248039
Run_number: 3972 Nplus : 3 Nminus : 5 | Aexp: -0.25 | errAexp: 0.342327
Run_number: 3973 Nplus : 4 Nminus : 4 | Aexp: 0 | errAexp: 0.353553
Run_number: 3974 Nplus : 4 Nminus : 2 | Aexp: 0.333333 | errAexp: 0.3849
Run_number: 3975 Nplus : 3 Nminus : 3 | Aexp: 0 | errAexp: 0.408248
Run_number: 3976 Nplus : 1 Nminus : 3 | Aexp: -0.5 | errAexp: 0.433013
Run_number: 3977 Nplus : 0 Nminus : 7 | Aexp: -1 | errAexp: 0
Run_number: 3978 Nplus : 1 Nminus : 3 | Aexp: -0.5 | errAexp: 0.433013
Run_number: 3980 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3981 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 3983 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3985 Nplus : 3 Nminus : 5 | Aexp: -0.25 | errAexp: 0.342327
Run_number: 3986 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3996 Nplus : 3 Nminus : 3 | Aexp: 0 | errAexp: 0.408248
Run_number: 3998 Nplus : 2 Nminus : 1 | Aexp: 0.333333 | errAexp: 0.544331
Run_number: 4023 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 4024 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 4025 Nplus : 3 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 4027 Nplus : 2 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 4028 Nplus : 2 Nminus : 2 | Aexp: 0 | errAexp: 0.5
Run_number: 4029 Nplus : 5 Nminus : 1 | Aexp: 0.666667 | errAexp: 0.30429
Run_number: 4030 Nplus : 2 Nminus : 1 | Aexp: 0.333333 | errAexp: 0.544331
Run_number: 4031 Nplus : 0 Nminus : 5 | Aexp: -1 | errAexp: 0
Run_number: 4032 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 4034 Nplus : 0 Nminus : 2 | Aexp: -1 | errAexp: 0
Run_number: 4035 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 4036 Nplus : 0 Nminus : 2 | Aexp: -1 | errAexp: 0
Run_number: 4037 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 4038 Nplus : 2 Nminus : 1 | Aexp: 0.333333 | errAexp: 0.544331
Run_number: 4043 Nplus : 1 Nminus : 1 | Aexp: 0 | errAexp: 0.707107
Run_number: 4044 Nplus : 2 Nminus : 4 | Aexp: -0.333333 | errAexp: 0.3849
Run_number: 4046 Nplus : 1 Nminus : 1 | Aexp: 0 | errAexp: 0.707107
Run_number: 4048 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 4051 Nplus : 2 Nminus : 2 | Aexp: 0 | errAexp: 0.5
Run_number: 4052 Nplus : 2 Nminus : 2 | Aexp: 0 | errAexp: 0.5
Run_number: 4053 Nplus : 4 Nminus : 2 | Aexp: 0.333333 | errAexp: 0.3849
Run_number: 4054 Nplus : 2 Nminus : 4 | Aexp: -0.333333 | errAexp: 0.3849
Run_number: 4055 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 4056 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 4057 Nplus : 2 Nminus : 3 | Aexp: -0.2 | errAexp: 0.438178
Run_number: 4058 Nplus : 3 Nminus : 5 | Aexp: -0.25 | errAexp: 0.342327
Run_number: 4059 Nplus : 4 Nminus : 2 | Aexp: 0.333333 | errAexp: 0.3849
Run_number: 4060 Nplus : 3 Nminus : 3 | Aexp: 0 | errAexp: 0.408248
Run_number: 4061 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 4062 Nplus : 0 Nminus : 2 | Aexp: -1 | errAexp: 0
Run_number: 4063 Nplus : 1 Nminus : 1 | Aexp: 0 | errAexp: 0.707107
Run_number: 4064 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 4065 Nplus : 3 Nminus : 2 | Aexp: 0.2 | errAexp: 0.438178
Run_number: 4066 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 4067 Nplus : 2 Nminus : 1 | Aexp: 0.333333 | errAexp: 0.544331
Run_number: 4068 Nplus : 4 Nminus : 4 | Aexp: 0 | errAexp: 0.353553
Run_number: 4069 Nplus : 0 Nminus : 2 | Aexp: -1 | errAexp: 0
Run_number: 4070 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 4071 Nplus : 4 Nminus : 1 | Aexp: 0.6 | errAexp: 0.357771
Run_number: 4072 Nplus : 4 Nminus : 1 | Aexp: 0.6 | errAexp: 0.357771
Run_number: 4073 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 4074 Nplus : 5 Nminus : 2 | Aexp: 0.428571 | errAexp: 0.341494
Run_number: 4075 Nplus : 2 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 4076 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 4077 Nplus : 3 Nminus : 1 | Aexp: 0.5 | errAexp: 0.433013
Run_number: 4078 Nplus : 9 Nminus : 2 | Aexp: 0.636364 | errAexp: 0.232583
Run_number: 4079 Nplus : 2 Nminus : 1 | Aexp: 0.333333 | errAexp: 0.544331
Run_number: 4080 Nplus : 4 Nminus : 2 | Aexp: 0.333333 | errAexp: 0.3849
Run_number: 4081 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 4082 Nplus : 3 Nminus : 2 | Aexp: 0.2 | errAexp: 0.438178
Run_number: 4083 Nplus : 1 Nminus : 4 | Aexp: -0.6 | errAexp: 0.357771
Run_number: 4084 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 4085 Nplus : 6 Nminus : 3 | Aexp: 0.333333 | errAexp: 0.31427
Run_number: 4086 Nplus : 2 Nminus : 1 | Aexp: 0.333333 | errAexp: 0.544331
Run_number: 4087 Nplus : 1 Nminus : 1 | Aexp: 0 | errAexp: 0.707107
Run_number: 4088 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 4089 Nplus : 0 Nminus : 2 | Aexp: -1 | errAexp: 0
Run_number: 4091 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 4092 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 4093 Nplus : 0 Nminus : 2 | Aexp: -1 | errAexp: 0
Run_number: 4094 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 4095 Nplus : 2 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 4096 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
