Run_number: 4260 | Ap_exp: 0 | errAexp: 0.316228
Run_number: 4261 | Ap_exp: -0.0434783 | errAexp: 0.147303
Run_number: 4262 | Ap_exp: 0.25 | errAexp: 0.197642
Run_number: 4263 | Ap_exp: 0.015873 | errAexp: 0.125972
Run_number: 4264 | Ap_exp: 0.0526316 | errAexp: 0.229098
Run_number: 4265 | Ap_exp: -0.12766 | errAexp: 0.102298
Run_number: 4266 | Ap_exp: -0.0967742 | errAexp: 0.178762
Run_number: 4273 | Ap_exp: -0.142857 | errAexp: 0.187044
Run_number: 4274 | Ap_exp: -0.04 | errAexp: 0.115378
Run_number: 4275 | Ap_exp: 0.0508475 | errAexp: 0.130021
Run_number: 4284 | Ap_exp: 0.142857 | errAexp: 0.167297
Run_number: 4285 | Ap_exp: -0.0588235 | errAexp: 0.121058
Run_number: 4286 | Ap_exp: -0.0877193 | errAexp: 0.131943
Run_number: 4288 | Ap_exp: -0.04 | errAexp: 0.19984
Run_number: 4289 | Ap_exp: 0.169811 | errAexp: 0.135366
Run_number: 4290 | Ap_exp: 0.0434783 | errAexp: 0.147303
Run_number: 4292 | Ap_exp: -0.166667 | errAexp: 0.284638
Run_number: 4293 | Ap_exp: -0.0666667 | errAexp: 0.257624
Run_number: 4294 | Ap_exp: -1 | errAexp: 0
Run_number: 4297 | Ap_exp: 0.0625 | errAexp: 0.124756
Run_number: 4298 | Ap_exp: 0.222222 | errAexp: 0.162499
Run_number: 4299 | Ap_exp: -0.157895 | errAexp: 0.226538
Run_number: 4300 | Ap_exp: 0.444444 | errAexp: 0.211144
Run_number: 4302 | Ap_exp: 1 | errAexp: 0
Run_number: 4303 | Ap_exp: 0.102041 | errAexp: 0.142111
Run_number: 4304 | Ap_exp: 0.0434783 | errAexp: 0.147303
Run_number: 4305 | Ap_exp: -0.0769231 | errAexp: 0.159654
Run_number: 4307 | Ap_exp: 0.214286 | errAexp: 0.130527
Run_number: 4308 | Ap_exp: -0.170732 | errAexp: 0.153881
Run_number: 4309 | Ap_exp: -0.428571 | errAexp: 0.341494
Run_number: 4310 | Ap_exp: -0.12 | errAexp: 0.198555
Run_number: 4311 | Ap_exp: 0.111111 | errAexp: 0.165635
Run_number: 4315 | Ap_exp: 0.173913 | errAexp: 0.145195
Run_number: 4316 | Ap_exp: 0.0909091 | errAexp: 0.212318
Run_number: 4320 | Ap_exp: 0.0175439 | errAexp: 0.132433
Run_number: 4321 | Ap_exp: -0.2 | errAexp: 0.252982
