dataset,panel,paper,Q2,value,stat_err,sys_err,total_err
global_fit_ye,ratio,Ye,0.0037154,0.0018312614874207579,,5.2238498077135854e-05,5.2238498077135854e-05
global_fit_ye,ratio,Ye,0.0037584,0.001852300664062547,,5.319337150107982e-05,5.319337150107982e-05
global_fit_ye,ratio,Ye,0.0038019,0.0018735793103013144,,5.4167934895870665e-05,5.4167934895870665e-05
global_fit_ye,ratio,Ye,0.0038459,0.0018951004562112513,,5.516256218939268e-05,5.516256218939268e-05
global_fit_ye,ratio,Ye,0.0038905,0.0019168673243551663,,5.617762334743994e-05,5.617762334743994e-05
global_fit_ye,ratio,Ye,0.0039355,0.0019388827582642746,,5.721350742392315e-05,5.721350742392315e-05
global_fit_ye,ratio,Ye,0.0039811,0.001961147786483894,,5.8270608370005905e-05,5.8270608370005905e-05
global_fit_ye,ratio,Ye,0.0040272,0.001983667444302485,,5.934930079511513e-05,5.934930079511513e-05
global_fit_ye,ratio,Ye,0.0040738,0.0020064427612486403,,6.0449999084675224e-05,6.0449999084675224e-05
global_fit_ye,ratio,Ye,0.004121,0.0020294779754049712,,6.157311416702604e-05,6.157311416702604e-05
global_fit_ye,ratio,Ye,0.0041687,0.00205277592194344,,6.271905468652258e-05,6.271905468652258e-05
global_fit_ye,ratio,Ye,0.004217,0.0020763388415811473,,6.388823145338106e-05,6.388823145338106e-05
